userId,cancel_date,churn,start_date,end_date,has_activity,psn_gender,psn_city,psn_state,acct_day_since_reg,psn_multi_city,psn_multi_state,acct_last_level,acct_multiple_levels,act_page_about,act_page_add_friend,act_page_add_to_playlist,act_page_downgrade,act_page_error,act_page_help,act_page_home,act_page_logout,act_page_nextsong,act_page_roll_advert,act_page_save_settings,act_page_settings,act_page_submit_downgrade,act_page_submit_upgrade,act_page_thumbs_down,act_page_thumbs_up,act_page_upgrade,total_page_visits,unique_page_types,session_count,session_avg_pages,act_days_active,prf_top20artist_count,prf_top20artist_any,prf_top100artist_count,prf_top100artist_any,prf_unique_artist_count,prf_unique_artist_any,prf_top100song_count,prf_top100song_any,prf_top1000song_count,prf_top1000song_any,prf_unique_song_count,prf_unique_song_any
30,,False,2018-10-26,2018-11-02,True,M,Bakersfield,CA,34,False,False,free,True,1,3,5,0,0,1,9,4,221,18,0,4,0,0,2,9,4,281,12,5.0,1353.6192170818506,4.0,23,True,56,True,12,True,18,True,60,True,35,True
9,,False,2018-10-25,2018-11-01,True,M,Boston-Cambridge-Newton,MA-NH,31,True,True,paid,True,0,4,3,2,1,2,6,1,158,6,0,0,1,1,1,10,2,198,14,3.0,1323.7727272727273,4.0,17,True,43,True,0,False,19,True,45,True,14,True
74,,False,2018-10-23,2018-10-30,True,F,Tallahassee,FL,40,False,False,free,True,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1173.0,1.0,0,False,0,False,0,False,0,False,0,False,0,False
54,2018-11-12 19:40:08,True,2018-11-05,2018-11-12,True,F,Spokane-Spokane Valley,WA,109,True,False,paid,True,2,5,11,13,0,4,21,5,526,0,1,5,0,0,8,36,0,637,12,7.0,1693.4992150706437,6.0,50,True,122,True,20,True,52,True,151,True,99,True
4,,False,2018-11-09,2018-11-16,True,M,Baltimore-Columbia-Towson,MD,48,True,False,paid,True,1,14,12,4,2,6,17,3,437,0,0,2,0,0,4,24,0,526,12,2.0,1746.277566539924,2.0,46,True,100,True,11,True,50,True,130,True,73,True
101,2018-10-16 22:30:37,True,2018-10-09,2018-10-16,True,M,Denver-Aurora-Lakewood,CO,53,True,False,paid,True,1,9,37,15,0,3,47,15,917,1,2,7,0,0,11,48,0,1113,13,4.0,658.2614555256065,6.0,73,True,183,True,21,True,84,True,240,True,149,True
78,,False,2018-10-10,2018-10-17,False,F,Mcallen-Edinburg-Mission,TX,16,True,False,free,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,False,0,False,0,False,0,False,0,False,0,False
88,,False,2018-11-07,2018-11-14,True,F,Columbus,GA-AL,63,False,True,paid,True,1,2,8,4,0,2,7,1,230,0,1,2,0,0,3,12,0,273,12,2.0,1682.6666666666667,2.0,23,True,56,True,3,True,24,True,57,True,26,True
95,,False,2018-10-26,2018-11-02,True,F,Phoenix-Mesa-Scottsdale,AZ,33,True,False,free,True,0,0,0,0,1,0,1,2,64,4,0,0,0,0,1,3,1,77,8,2.0,1324.7142857142858,1.0,2,True,12,True,1,True,5,True,13,True,14,True
25,,False,2018-11-05,2018-11-12,True,F,Tampa-St. Petersburg-Clearwater,FL,65,True,False,free,True,0,6,15,4,0,1,26,6,495,5,0,2,1,0,4,25,0,590,12,3.0,1542.6881355932203,3.0,51,True,116,True,10,True,51,True,138,True,77,True
142,,False,2018-10-04,2018-10-11,True,M,New York-Newark-Jersey City,NY-NJ-PA,12,True,True,paid,True,1,4,18,7,3,3,19,6,576,2,2,6,0,0,3,27,0,677,14,3.0,520.2629246676514,4.0,54,True,131,True,14,True,68,True,164,True,79,True
13,,False,2018-10-13,2018-10-20,True,F,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,78,True,True,free,False,1,2,11,0,0,0,7,2,166,11,0,1,0,0,0,11,1,213,10,4.0,871.7276995305165,4.0,12,True,38,True,1,True,15,True,34,True,26,True
45,,False,2018-10-13,2018-10-20,True,F,Atlanta-Sandy Springs-Roswell,GA,41,True,False,free,False,0,0,0,0,0,0,4,0,17,0,0,0,0,0,0,1,0,22,3,1.0,631.0,1.0,1,True,1,True,0,False,2,True,5,True,2,True
39,,False,2018-10-07,2018-10-14,True,F,Los Angeles-Long Beach-Anaheim,CA,120,True,False,paid,True,3,20,28,8,2,6,39,10,970,4,0,6,0,1,15,48,1,1161,15,12.0,702.811369509044,7.0,84,True,216,True,26,True,103,True,249,True,167,True
87,2018-10-20 15:49:16,True,2018-10-13,2018-10-20,True,M,Quincy,IL-MO,58,False,True,free,False,0,14,7,0,0,5,25,9,220,22,0,5,0,0,3,8,1,319,11,8.0,884.9341692789968,5.0,26,True,51,True,4,True,23,True,63,True,32,True
28,2018-11-06 00:20:32,True,2018-10-30,2018-11-06,True,F,New Philadelphia-Dover,OH,44,True,False,paid,True,2,10,27,10,0,1,33,12,896,0,0,1,0,0,16,51,0,1059,11,6.0,1459.2171860245514,4.0,82,True,192,True,25,True,88,True,248,True,154,True
131,,False,2018-10-08,2018-10-15,True,M,Kingsport-Bristol-Bristol,TN-VA,74,True,True,paid,True,0,2,1,1,0,2,1,0,60,0,0,0,0,0,0,4,0,71,7,2.0,559.6619718309859,1.0,7,True,13,True,1,True,9,True,18,True,12,True
126,,False,2018-10-26,2018-11-02,True,M,New York-Newark-Jersey City,NY-NJ-PA,33,True,True,paid,True,1,1,4,5,0,1,12,6,156,0,1,2,0,0,3,10,0,202,12,3.0,1277.351485148515,2.0,12,True,32,True,2,True,14,True,41,True,31,True
146,,False,2018-10-07,2018-10-14,True,M,Myrtle Beach-Conway-North Myrtle Beach,SC-NC,38,True,True,free,False,0,0,1,0,0,0,1,0,30,0,0,0,0,0,1,1,0,34,5,1.0,395.0,1.0,1,True,4,True,1,True,2,True,8,True,4,True
59,,False,2018-10-05,2018-10-12,True,M,Boulder,CO,16,False,False,paid,True,0,0,1,2,0,0,4,1,64,0,0,1,0,1,2,2,1,79,10,1.0,455.0,1.0,2,True,9,True,3,True,2,True,10,True,13,True
15,,False,2018-11-12,2018-11-19,True,M,Morgantown,WV,50,False,False,paid,False,0,5,10,1,0,1,9,1,191,0,1,1,0,0,1,6,0,227,11,3.0,1899.5991189427314,3.0,8,True,28,True,8,True,15,True,38,True,39,True
36,,False,2018-10-05,2018-10-12,True,F,Minneapolis-St. Paul-Bloomington,MN-WI,62,True,True,free,False,1,5,3,0,0,2,6,2,101,11,0,0,0,0,3,4,1,139,11,5.0,535.956834532374,3.0,7,True,21,True,4,True,10,True,25,True,20,True
120,,False,2018-10-07,2018-10-14,True,F,Oklahoma City,OK,81,False,False,paid,False,0,4,7,5,0,0,7,4,355,0,1,4,0,0,2,18,0,407,10,2.0,502.1646191646192,3.0,39,True,92,True,12,True,38,True,105,True,58,True
92,,False,2018-11-10,2018-11-17,True,F,Boston-Cambridge-Newton,MA-NH,69,True,True,paid,True,2,19,34,11,1,3,33,15,947,0,0,7,0,0,18,44,0,1134,12,12.0,1883.1746031746031,7.0,79,True,217,True,28,True,94,True,257,True,142,True
33,,False,2018-10-26,2018-11-02,True,M,Hartford-West Hartford-East Hartford,CT,137,True,False,paid,False,1,2,3,4,0,1,11,3,191,0,1,1,0,0,3,14,0,235,12,2.0,918.2595744680851,2.0,15,True,51,True,3,True,20,True,53,True,26,True
51,2018-10-17 07:39:32,True,2018-10-10,2018-10-17,True,M,Lexington-Fayette,KY,19,True,False,paid,False,0,4,21,10,0,6,23,6,851,0,1,4,0,0,10,40,0,976,11,6.0,747.5563524590164,5.0,75,True,188,True,24,True,89,True,233,True,116,True
